Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
NomNom v HeadHunter v Noodle v Hot Soup,2,72,8,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,3,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,4,15,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,5,26,5,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,6,5,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,7,16,4,Collide with Hot Soup's body,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,8,48,7,Lost head-to-head with Hot Soup,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,9,24,5,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,10,48,5,Lost head-to-head with Hot Soup,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,11,178,16,Lost head-to-head with Hot Soup,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,12,57,6,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,13,17,5,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,14,23,4,Lost head-to-head with Hot Soup,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,15,50,7,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,16,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,17,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,18,170,13,Lost head-to-head with Hot Soup,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,19,10,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,20,14,5,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,21,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,22,31,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,23,93,13,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,24,59,6,Lost head-to-head with Noodle,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,25,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,26,10,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,27,8,5,Lost head-to-head with NomNom,N,1,
