Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
NomNom v HeadHunter v Noodle v Hot Soup,17,106,15,Collided with Hot soup's body,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,18,283,21,N/A,Y,1,
NomNom v HeadHunter v Noodle v Hot Soup,19,217,32,Collided with itself,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,20,9,4,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,21,240,30,Collided with itself,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,22,9,4,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,23,9,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,24,311,35,N/A,Y,2,
NomNom v HeadHunter v Noodle v Hot Soup,25,65,12,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,26,149,21,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,27,164,25,N/A,Y,1,
NomNom v HeadHunter v Noodle v Hot Soup,28,130,16,Collided with Hot soup's body,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,29,11,4,Lost head-to-head with Headhunter,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,30,26,5,Collided with Hot soup's body,N,0,
,,,,,,,
,avg turn #,137.5555556,20.16111111,avg length,,63,total kills
,,100.58,13.62,,,0.42,average # kills
,,,,,win/loss/tie,,
,,,,,N,59,
,,,,,Y,88,
,,,,,T,3,
